iter	RMSE
0	18630.9393
1	18110.69328
2	17595.09176
3	17097.99901
4	16611.30361
5	16147.84983
6	15696.43513
7	15264.86281
8	14836.77633
9	14424.72881
10	14023.00928
11	13635.80002
12	13263.70892
13	12899.6966
14	12554.61859
15	12207.76507
16	11879.60279
17	11559.68602
18	11242.88822
19	10935.47108
20	10647.7107
21	10363.67389
22	10089.06512
23	9825.735697
24	9566.560228
25	9312.749223
26	9076.172033
27	8837.864453
28	8611.483692
29	8388.516663
30	8177.053944
31	7970.054669
32	7770.366116
33	7586.133905
34	7401.847721
35	7221.431726
36	7045.939376
37	6874.244618
38	6712.540123
39	6556.907733
40	6401.538256
41	6249.017887
42	6103.796434
43	5964.551214
44	5824.97174
45	5690.558519
46	5561.94628
47	5440.646604
48	5323.649657
49	5212.688708
50	5100.444984
51	4991.514667
52	4888.332334
53	4788.159
54	4693.542099
55	4596.201742
56	4505.160748
57	4419.556489
58	4336.048832
59	4257.734289
60	4180.80844
61	4106.200548
62	4035.863546
63	3966.351089
64	3900.62539
65	3840.690129
66	3780.286838
67	3721.965921
68	3665.945427
69	3609.063967
70	3559.298494
71	3509.729298
72	3460.945389
73	3412.464715
74	3368.107673
75	3325.278189
76	3283.738831
77	3244.777906
78	3207.893153
79	3173.400093
80	3140.001795
81	3107.121537
82	3077.07265
83	3048.441568
84	3018.619818
85	2989.896671
86	2962.043969
87	2935.473001
88	2910.343632
89	2888.641549
90	2866.767696
91	2844.858708
92	2822.484421
93	2802.565704
94	2781.855038
95	2764.566833
96	2745.561401
97	2727.911101
98	2711.850015
99	2695.425979
100	2681.156922
101	2666.59345
102	2652.980292
103	2636.340591
104	2624.895297
105	2611.979764
106	2599.899999
107	2589.680205
108	2577.849152
109	2565.255072
110	2554.795385
111	2545.053566
112	2535.935661
113	2527.634069
114	2518.970802
115	2511.614769
116	2503.577636
117	2496.399372
118	2489.987833
119	2483.382199
120	2476.127965
121	2469.310008
122	2462.498596
123	2457.798484
124	2452.555781
125	2446.600341
126	2442.750333
127	2437.1005
128	2432.541916
129	2428.938194
130	2424.913417
131	2419.284087
132	2416.280969
133	2412.544897
134	2407.399991
135	2403.300188
136	2399.26091
137	2395.52681
138	2392.439571
139	2389.724525
140	2387.003618
141	2383.750005
142	2380.847601
143	2377.214807
144	2372.894636
145	2368.612847
146	2366.182259
147	2362.916738
148	2359.255916
149	2357.367394
150	2354.960466
151	2353.431559
152	2351.135635
153	2348.569879
154	2347.342041
155	2343.748438
156	2341.870804
157	2339.542572
158	2338.322499
159	2336.381443
160	2334.747735
161	2332.722635
162	2330.994741
163	2328.333562
164	2325.881381
165	2324.947666
166	2324.102733
167	2322.809461
168	2321.110676
169	2319.51104
170	2316.570781
171	2313.506172
172	2312.179759
173	2310.737244
174	2309.818531
175	2307.622591
176	2306.077083
177	2303.602986
178	2303.232048
179	2301.988131
180	2300.739097
181	2298.012759
182	2297.826944
183	2296.941632
184	2296.690599
185	2296.447716
186	2295.48452
187	2294.483251
188	2294.181221
189	2293.562124
190	2293.131928
191	2290.859377
192	2289.120953
193	2287.353161
194	2285.46146
195	2285.349472
196	2284.731699
197	2284.278664
198	2284.21265
199	2284.161466
200	2284.09586
201	2283.822535
202	2283.425328
203	2283.245556
204	2282.430963
205	2279.422453
206	2278.913681
207	2278.077355
208	2275.010081
209	2274.844167
210	2273.407866
211	2272.945238
212	2272.93014
213	2272.255312
214	2272.080193
215	2271.335775
216	2270.817679
217	2270.464402
218	2270.031973
219	2269.718205
220	2269.703434
221	2269.043263
222	2268.73132
223	2267.420459
224	2266.003322
225	2265.722807
226	2265.144658
227	2265.001401
228	2264.490505
229	2263.384917
230	2263.334224
231	2261.429489
232	2259.601378
233	2259.465876
234	2259.443432
235	2259.271531
236	2258.992184
237	2258.983167
238	2258.955337
239	2258.949666
240	2258.866702
241	2258.794487
242	2258.690883
243	2258.62105
244	2256.608585
245	2256.587067
246	2256.159989
247	2255.704439
248	2255.347509
249	2254.80136
250	2254.513306
251	2254.503616
252	2254.091245
253	2252.332647
254	2252.312228
255	2252.310424
256	2252.052041
257	2250.573981
258	2250.569268
259	2250.53828
260	2250.514762
261	2248.50955
262	2248.506818
263	2248.131871
264	2248.04708
265	2247.920024
266	2247.667757
267	2246.271856
268	2246.24643
269	2246.04876
270	2245.987099
271	2245.854523
272	2245.733999
273	2245.705534
274	2243.986362
275	2243.922267
276	2243.904749
277	2243.90232
278	2243.816994
279	2243.511188
280	2242.114182
281	2242.111698
282	2241.10227
283	2241.010652
284	2239.563744
285	2239.355306
286	2239.296311
287	2239.296007
288	2239.257756
289	2239.254646
290	2239.250561
291	2239.155072
292	2238.678898
293	2238.573737
294	2238.166762
295	2238.164327
296	2236.474319
297	2236.472124
298	2236.470045
