iter	Passed	Remaining
0	51	51674
1	107	53799
2	154	51322
3	222	55518
4	278	55475
5	330	54779
6	362	51404
7	413	51308
8	479	52806
9	539	53361
10	615	55328
11	686	56531
12	753	57172
13	816	57504
14	870	57184
15	931	57268
16	970	56132
17	1024	55890
18	1076	55586
19	1117	54741
20	1155	53878
21	1204	53549
22	1255	53338
23	1306	53129
24	1354	52822
25	1427	53472
26	1473	53107
27	1529	53084
28	1595	53434
29	1670	54006
30	1761	55056
31	1840	55674
32	1894	55514
33	1956	55575
34	2021	55746
35	2078	55657
36	2129	55428
37	2213	56026
38	2304	56783
39	2393	57445
40	2486	58154
41	2563	58470
42	2631	58567
43	2689	58436
44	2740	58153
45	2803	58146
46	2836	57505
47	2906	57650
48	2965	57547
49	3007	57146
50	3073	57193
51	3159	57593
52	3242	57935
53	3308	57957
54	3376	58017
55	3443	58047
56	3531	58418
57	3601	58497
58	3662	58412
59	3731	58457
60	3796	58446
61	3878	58678
62	3956	58851
63	4016	58735
64	4081	58708
65	4131	58464
66	4183	58251
67	4243	58160
68	4295	57962
69	4344	57718
70	4389	57438
71	4433	57140
72	4482	56919
73	4534	56743
74	4601	56754
75	4661	56679
76	4726	56661
77	4786	56578
78	4856	56614
79	4916	56536
80	4977	56474
81	5045	56483
82	5106	56420
83	5169	56375
84	5236	56366
85	5298	56308
86	5355	56202
87	5420	56176
88	5481	56113
89	5537	55987
90	5597	55918
91	5650	55772
92	5706	55652
93	5761	55534
94	5826	55502
95	5879	55367
96	5945	55347
97	6017	55382
98	6086	55392
99	6146	55322
100	6207	55248
101	6276	55257
102	6334	55162
103	6398	55122
104	6437	54868
105	6486	54706
106	6535	54543
107	6593	54457
108	6645	54324
109	6700	54212
110	6755	54107
111	6812	54015
112	6868	53915
113	6926	53833
114	6985	53761
115	7044	53686
116	7096	53559
117	7152	53462
118	7211	53385
119	7253	53195
120	7307	53082
121	7363	52992
122	7419	52904
123	7460	52705
124	7512	52587
125	7567	52490
126	7622	52395
127	7674	52282
128	7727	52177
129	7755	51901
130	7807	51789
131	7867	51735
132	7907	51544
133	7954	51405
134	8007	51310
135	8066	51248
136	8120	51151
137	8171	51041
138	8225	50951
139	8282	50878
140	8332	50765
141	8384	50659
142	8439	50577
143	8506	50565
144	8582	50607
