iter	RMSE
0	18634.78118
1	18111.94987
2	17616.86867
3	17127.69032
4	16656.31673
5	16221.67636
6	15767.16496
7	15331.95572
8	14909.79518
9	14503.5415
10	14115.68936
11	13743.14666
12	13374.22759
13	13014.71504
14	12658.0093
15	12315.49972
16	11981.48519
17	11663.53771
18	11361.26722
19	11062.10866
20	10776.23086
21	10491.23845
22	10228.95151
23	9969.241314
24	9707.057308
25	9461.226941
26	9222.781567
27	8988.126482
28	8760.588202
29	8544.517069
30	8330.832445
31	8118.842799
32	7916.311284
33	7720.114773
34	7527.097572
35	7334.216306
36	7152.148754
37	6976.168277
38	6804.974469
39	6641.695307
40	6480.218908
41	6324.584096
42	6169.321454
43	6034.796673
44	5891.084021
45	5762.882747
46	5629.25661
47	5496.382287
48	5377.995346
49	5255.392668
50	5137.192327
51	5020.320366
52	4906.778599
53	4802.465159
54	4701.485991
55	4604.301986
56	4511.665339
57	4420.91879
58	4327.985778
59	4239.721449
60	4156.528579
61	4073.678752
62	3994.997276
63	3919.979685
64	3847.298542
65	3773.412315
66	3704.180491
67	3636.837572
68	3573.407096
69	3512.54809
70	3454.406031
71	3397.637756
72	3342.890632
73	3289.815148
74	3237.699027
75	3185.743187
76	3138.789104
77	3094.213249
78	3050.107107
79	3010.415848
80	2971.073311
81	2931.44749
82	2893.349212
83	2858.844373
84	2822.07235
85	2788.227481
86	2760.296288
87	2730.459331
88	2698.316014
89	2668.533174
90	2643.358696
91	2616.907546
92	2591.876391
93	2566.483584
94	2543.082824
95	2520.465503
96	2496.813191
97	2474.84889
98	2453.693332
99	2432.410572
100	2412.543657
101	2394.058413
102	2376.483054
103	2359.60596
104	2343.885968
105	2329.611235
106	2315.154181
107	2300.522117
108	2287.610067
109	2273.194705
110	2258.484359
111	2246.540556
112	2234.614506
113	2225.767394
114	2211.606333
115	2199.313053
116	2190.217777
117	2179.369264
118	2169.638279
119	2160.057762
120	2151.489718
121	2143.247973
122	2134.164861
123	2125.739569
124	2118.140757
125	2107.327277
126	2099.815904
127	2092.53384
128	2085.409922
129	2078.976481
130	2072.87958
131	2065.840378
132	2059.611987
133	2056.240125
134	2052.534326
135	2047.8731
136	2044.704253
137	2040.62642
138	2035.665168
139	2031.227488
140	2026.528999
141	2021.564973
142	2017.996221
143	2015.157005
144	2010.270225
145	2006.688213
146	2002.94438
147	1997.873395
148	1995.068036
149	1992.434123
150	1988.447328
151	1985.639565
152	1982.683911
153	1979.593209
154	1977.125014
155	1974.454561
156	1969.231314
157	1967.211699
158	1963.411713
159	1960.112032
160	1958.057022
161	1954.775945
162	1952.370872
163	1949.664914
164	1946.860092
165	1944.890422
166	1941.189433
167	1938.619836
168	1933.729382
169	1929.833922
170	1928.763943
171	1926.363877
172	1924.242589
173	1922.21574
174	1918.005889
175	1917.532265
176	1915.80649
177	1915.381765
178	1914.90026
179	1911.321093
180	1910.811381
181	1910.047855
182	1909.675541
183	1909.387672
184	1906.390443
185	1903.370141
186	1902.251128
187	1901.640236
188	1901.400933
189	1897.823526
190	1896.419455
