iter	Passed	Remaining
0	97	97641
1	148	74276
2	182	60506
3	234	58357
4	283	56509
5	307	50987
6	365	51899
7	427	53016
8	476	52414
9	529	52460
10	591	53156
11	642	52924
12	693	52648
13	738	51981
14	792	52043
15	834	51301
16	870	50356
17	919	50137
18	962	49721
19	1008	49409
20	1043	48647
21	1089	48443
22	1128	47915
23	1179	47962
24	1221	47627
25	1254	46999
26	1287	46392
27	1327	46066
28	1365	45711
29	1410	45613
30	1443	45113
31	1487	45006
32	1529	44825
33	1568	44552
34	1602	44192
35	1642	43974
36	1682	43795
37	1721	43580
38	1754	43231
39	1802	43265
40	1838	43000
41	1880	42897
42	1913	42577
43	1939	42148
44	1987	42171
45	2029	42085
46	2068	41940
47	2100	41666
48	2133	41400
49	2175	41328
50	2216	41251
51	2251	41041
52	2296	41032
53	2332	40856
54	2383	40958
55	2427	40919
56	2464	40764
57	2510	40768
58	2557	40789
59	2594	40650
60	2641	40660
61	2674	40455
62	2720	40468
63	2765	40439
64	2796	40230
65	2837	40157
66	2881	40122
67	2923	40071
68	2960	39946
69	3007	39961
70	3042	39815
71	3087	39789
72	3119	39615
73	3168	39654
74	3207	39563
75	3241	39408
76	3283	39364
77	3325	39309
78	3365	39232
79	3402	39123
80	3447	39109
81	3480	38963
82	3521	38901
83	3561	38836
84	3604	38798
85	3644	38732
86	3675	38575
87	3715	38501
88	3761	38503
89	3798	38406
90	3841	38376
91	3876	38259
92	3917	38210
93	3956	38131
94	4002	38125
95	4042	38064
96	4075	37938
97	4120	37927
98	4158	37846
99	4202	37826
100	4242	37763
101	4287	37749
102	4323	37656
103	4372	37666
104	4414	37627
105	4450	37531
106	4496	37528
107	4540	37499
108	4592	37542
109	4631	37470
110	4686	37536
111	4744	37615
112	4787	37579
113	4826	37508
114	4864	37434
115	4905	37386
116	4939	37276
117	4985	37265
118	5023	37189
119	5067	37161
120	5110	37125
121	5157	37114
122	5195	37045
123	5242	37034
124	5279	36959
125	5329	36967
126	5367	36895
127	5416	36898
128	5465	36903
129	5500	36812
130	5544	36779
131	5577	36679
132	5625	36672
133	5652	36527
134	5679	36387
135	5718	36328
136	5743	36181
137	5789	36160
138	5826	36092
139	5870	36064
140	5916	36045
141	5962	36029
142	6018	36067
143	6066	36063
144	6115	36058
145	6156	36012
146	6215	36065
147	6258	36029
148	6307	36026
149	6341	35933
150	6384	35896
151	6420	35818
152	6461	35768
153	6501	35715
154	6535	35630
155	6580	35600
156	6620	35546
157	6648	35431
158	6694	35407
159	6736	35364
160	6775	35309
161	6810	35229
162	6860	35227
163	6894	35147
164	6947	35156
165	6984	35088
166	7031	35075
167	7072	35026
168	7124	35029
169	7157	34947
170	7190	34857
171	7236	34834
172	7276	34782
173	7325	34775
174	7359	34694
175	7398	34639
176	7439	34592
177	7467	34486
178	7490	34355
179	7531	34309
180	7558	34203
181	7592	34125
182	7614	33996
183	7644	33902
184	7688	33869
185	7741	33880
186	7774	33799
187	7805	33713
188	7825	33580
189	7868	33542
190	7914	33520
191	7955	33477
192	7991	33417
193	8016	33304
194	8047	33221
195	8089	33184
196	8132	33150
197	8168	33088
198	8210	33047
199	8226	32907
200	8272	32882
201	8290	32752
202	8333	32719
203	8374	32678
204	8417	32643
205	8466	32633
206	8514	32616
207	8548	32548
208	8579	32470
209	8598	32348
210	8634	32285
211	8654	32166
